Name,ASIN,Best Sellers Rank,Date First Available,Item Dimensions LxWxH,Net Quantity,Generic Name,No.of ratings,Price,Rating Out of 5
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",B09WQYFLRX,"#4 in Electronics (See Top 100 in Electronics)
#1 in Smartphones",1 January 2023,7.6 x 0.9 x 16.4 Centimeters,1 Piece,Smartphone,109634.0,18999.0,4.3
"Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Cyan Green",B08MVWSL9C,"#1,404 in Electronics (See Top 100 in Electronics)
#24 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3249.0,3.5
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 12GB RAM, 256GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",B07WHRNJJN,"#1,104 in Electronics (See Top 100 in Electronics)
#108 in Smartphones",3 May 2022,16 x 7.4 x 0.8 Centimeters,1 Count,Smartphone,10062.0,27999.0,4.3
"(Renewed) Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",B0BGBDXJFQ,"#40 in Amazon Renewed (See Top 100 in Amazon Renewed)
#24 in Valentine's Day (Amazon Renewed)
#337 in Smartphones",24 September 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,41.0,N.A,3.2
"Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFKYH4N,"#632 in Electronics (See Top 100 in Electronics)
#72 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",B0B4F2XCK3,"#783 in Electronics (See Top 100 in Electronics)
#80 in Smartphones",16 July 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,20862.0,12999.0,4.1
"Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G",B0BBFKYH4N,"#632 in Electronics (See Top 100 in Electronics)
#72 in Smartphones",9 September 2022,16.4 x 0.9 x 7.6 Centimeters,200 Grams,Smartphone,2766.0,13999.0,3.9
"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",B07WJV6P1R,"#920 in Electronics (See Top 100 in Electronics)
#97 in Smartphones",7 September 2022,16.4 x 7.6 x 0.8 Centimeters,1 Pack,Smartphone,20580.0,15499.0,4.1
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 12GB RAM, 256GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",B07WHRNJJN,"#1,104 in Electronics (See Top 100 in Electronics)
#108 in Smartphones",3 May 2022,16 x 7.4 x 0.8 Centimeters,1 Count,Smartphone,10062.0,27999.0,4.3
"Nokia 215 4G Dual SIM 4G Phone with Long Battery Life, Multiplayer Games, Wireless FM Radio and Durable Ergonomic Design | Cyan Green",B08MVWSL9C,"#1,404 in Electronics (See Top 100 in Electronics)
#24 in Basic Mobiles",4 November 2020,12.5 x 5.1 x 1.4 Centimeters,1 Count,4G Feature Phone,6315.0,3249.0,3.5
